puttalam,tauu,rlus,sfcWind,rsuscs,rsus,rsdscs,prw,hurs,rtmt,ua_850,evspsbl,vas,clwvi,rsutcs,rsds,ua_500,va_850,pr,huss,sbl,zg_500,wap_500,clt,va_500,clivi,ta_500,psl,hfls,hfss,prc,ps,rlds,rldcs,rlut,rlutcs,rsdt,rsut,ta_850,tas,tasmax,tasmin,tauv,tro3_500,tro3_850,ts,uas,wap_850,zg_850,date
228.4,0.291129677,0.389739012,0.167733345,0.078757434,0.214090269,0.106354123,0.676368505,0.712476456,0.205267646,0.291372167,0.282352941,0.367143423,0.276327342,0.842501939,0.181395522,0.643092267,0.423284072,0.437243722,0.629072197,0.794952681,0.401707593,0.505978278,0.679956827,0.909896298,0.287222515,0.362571756,0.587953476,0.283061481,0.224776,0.471843291,0.5853065,0.750548882,0.68860143,0.321292325,0.189769796,0.239606134,0.611477048,0.278419812,0.375353497,0.273797099,0.491999589,0.396398156,0.227247205,0.404714162,0.377757951,0.28819228,0.298912152,0.549178801,11/1/2001
88.4,0.221439445,0.236023996,0.408592722,0,0.390090101,0,0.450995947,0.561178078,0.149269845,0.262675046,0.623529412,0.228096511,0.166273666,0.728919446,0.345271584,0.477897588,0.313169371,0.227323249,0.403132512,0.119873817,0.354703721,0.715515807,0.646977243,0.339688223,0.14093072,0.289739421,0.717526795,0.623774819,0.334041242,0.2457713,0.717324191,0.494651735,0.450432209,0.501298068,0.31295275,0.004396605,0.364380485,0.175447731,0.214863778,0.173624801,0.27930321,0.255992095,0.637801509,0.707857498,0.241038027,0.21198489,0.648454973,0.618594215,12/1/2001
5.7,0.076044524,0.186375356,0.636326639,0.055893307,0.28700099,0.133032304,0.576467923,0.709630023,0.308630904,0.088596291,0.564705882,0.096894328,0.538227232,0.617588702,0.297697478,0.259222236,0.268549343,0.354748659,0.470267489,0.785488959,0.289259744,0.553925513,0.701804184,0.68551991,0.466783817,0.274618482,0.638469318,0.563911773,0.425395375,0.313433691,0.636485881,0.583510293,0.507082202,0.32494219,0.209727605,0.152087898,0.468245677,0.221788799,0.191019556,0.173111804,0.271832874,0.083891527,0.583254599,0.653239715,0.188124782,0.083068474,0.696166989,0.512392274,1/1/2002
0,0.209733932,0.143243712,0.324012245,0.397026746,0.482376922,0.502528214,0.467829303,0.633429428,0.498985727,0.152703514,0.221176471,0.276836621,0.242781411,0.678772403,0.522670766,0.33551976,0.195948184,0.283302042,0.42710474,0.223659306,0.343793616,0.508952084,0.526950384,0.667490975,0.123266567,0.186579311,0.695654539,0.222221616,0.352197792,0.268856116,0.694886045,0.460555646,0.41576127,0.479629149,0.240479894,0.555718691,0.401253903,0.292700322,0.204970003,0.232908832,0.182030988,0.320045089,0.61214203,0.982391157,0.149263706,0.186658649,0.454995193,0.622201764,2/1/2002
0,0.281839013,0.428642141,0.127000191,0.627576007,0.701821659,0.796724897,0.353930435,0.388377901,0.655674562,0.218397786,0.136470588,0.541148596,0.096040592,0.754699249,0.804034645,0.484004829,0.516614648,0.136725992,0.450026369,0.310410095,0.410068302,0.686313819,0.178679989,0.69721332,0.047661156,0.169277183,0.581315306,0.136489044,0.523068562,0.147859839,0.578968037,0.429779205,0.467707147,0.72797512,0.529929292,0.900847728,0.246650412,0.464947033,0.461467046,0.524163073,0.352619788,0.492986747,0.562038801,0.611711125,0.450265984,0.304365922,0.603336694,0.595423163,3/1/2002
93.8,0.450496019,0.639952968,0.22583181,0.577702232,0.456703278,0.842483418,0.540046766,0.477132038,0.688004582,0.449596866,0.24,0.782544916,0.226252252,0.634084346,0.552173169,0.32722653,0.708221615,0.329705515,0.67684808,0.621766562,0.461428845,0.516210227,0.555902678,0.58341547,0.237512462,0.38827715,0.426612408,0.239743519,0.460074491,0.356419211,0.423977147,0.700903631,0.708328777,0.448480425,0.413922672,0.997647651,0.521830265,0.543113299,0.639303643,0.596523785,0.655608664,0.647743424,0.624720977,0.424305467,0.636416354,0.580397057,0.405984212,0.470746118,4/1/2002
174.9,0.819272049,0.564967951,0.877575144,0.271180457,0.490744051,0.636134084,0.64598948,0.675227504,0.739101442,0.761501613,0.536470588,0.967196071,0.132722352,0.59741151,0.608009422,0.638667826,0.864820547,0.237635132,0.839859341,0.047318612,0.514098217,0.590906911,0.515149945,0.541862977,0.161039854,0.573811275,0.238442606,0.535594003,0.501758611,0.256915693,0.238545467,0.749194972,0.791113502,0.500684657,0.405235646,0.890916309,0.369686834,0.779209364,0.637750813,0.565544799,0.760147829,0.966919224,0.678887103,0.503743832,0.564431281,0.886716234,0.859060946,0.267297693,5/1/2002
38.2,0.710543505,0.479263375,0.688443094,0.237261134,0.46966745,0.580860687,0.685710015,0.712643141,0.631272221,0.771593435,0.256470588,0.919066872,0.236120015,0.502871787,0.526199028,0.502136517,0.757991302,0.220694181,0.795748285,0.407886435,0.443110583,0.700672839,0.700637012,0.841953297,0.327882334,0.430987784,0.276070345,0.257349497,0.43721769,0.238607046,0.278232336,0.732005676,0.766508708,0.468706491,0.332780757,0.780519731,0.427035853,0.656084294,0.565459,0.506720309,0.663874116,0.87307325,0.451256704,0.189593167,0.477383713,0.800245137,0.855487416,0.280145304,6/1/2002
82.3,0.692474028,0.517867109,0.632800943,0.233113701,0.385630869,0.585209855,0.817333683,0.688030605,0.782447937,0.781251297,0.308235294,0.838010358,0.25127221,0.457695058,0.452006227,0.724832851,0.476711434,0.370216483,0.813934548,0.755520505,0.317971199,0.545160443,0.818087,0.845492947,0.274310427,0.428629948,0.268303285,0.308836628,0.363686864,0.398608702,0.268409867,0.831324999,0.831619241,0.245155724,0.127928064,0.804518277,0.507942071,0.561442163,0.599106431,0.51099079,0.734224751,0.770312536,0.231175513,0.279655355,0.510105706,0.796892392,0.543066637,0.267584576,7/1/2002
9.6,0.797749872,0.509961156,0.758080153,0.565003423,0.436420219,0.73947422,0.787992794,0.631598609,0.814203119,0.803079519,0.545882353,0.792893146,0.329861885,0.430726815,0.498537425,0.642908895,0.618599703,0.353275533,0.740903282,0.169400631,0.353537015,0.605792108,0.632022957,0.852353109,0.424782747,0.354026189,0.40647272,0.546500678,0.416440512,0.381096083,0.40662392,0.80231618,0.794900192,0.264727793,0.149298847,0.899389462,0.518242678,0.522849038,0.563623724,0.474856181,0.71299839,0.76540081,0.173758901,0.199026293,0.499313403,0.875919996,0.634881755,0.410285716,8/1/2002
38.5,0.646433217,0.54901579,0.542702651,0.830020168,0.86189273,0.757956757,0.664991298,0.582664113,0.916835361,0.608592385,0.303529412,0.812362882,0.055165491,0.507168257,0.859959325,0.496495378,0.722395527,0.082956888,0.70474165,0.16214511,0.51304782,0.801571365,0.323310811,0.735398031,0.081184548,0.478720754,0.407605523,0.303211048,0.741440543,0.089749784,0.404912439,0.655610232,0.745311527,0.568079007,0.317736178,0.877635237,0.148960637,0.621702146,0.578519214,0.575249506,0.606193472,0.755325923,0.098679397,0.152924731,0.543570032,0.767549826,0.756302509,0.434000961,9/1/2002
287.1,0.480302765,0.506773739,0.22898407,0.611667533,0.346556979,0.516421524,0.757409117,0.688300928,0.500140697,0.476870798,0.150588235,0.646423507,0.31710971,0.460926746,0.340268408,0.448728767,0.551850579,0.465233119,0.74358953,0.332176656,0.444928929,0.480205218,0.667524015,0.642879749,0.261387776,0.468043072,0.441129223,0.151719383,0.358869609,0.472639319,0.438369393,0.778468115,0.782784972,0.324166508,0.191686394,0.623390749,0.576867179,0.471178989,0.530491122,0.450295253,0.626653089,0.59478379,0.118174798,0.327558835,0.492448586,0.588665937,0.33709843,0.457063351,10/1/2002
288.7,0.34261534,0.340487467,0.321371116,0.285373227,0.086134015,0.196746263,0.70830534,0.826602573,0.118888201,0.482936369,0.310588235,0.449745681,0.534121999,0.363115539,0.065469636,0.503428993,0.709964333,0.495432204,0.721138898,0.265615142,0.264269894,0.502464216,0.821727768,0.741178671,0.50316093,0.570189896,0.365487715,0.310028882,0.088151678,0.533137457,0.362604176,0.789534734,0.697750042,0.272053063,0.227255294,0.230251311,0.724149633,0.364495553,0.375833759,0.250081226,0.535244973,0.458423738,0.303680167,0.55222912,0.321607378,0.386605998,0.385342008,0.294967838,11/1/2002
59,0.21820143,0.161917503,0.41222785,0.212606169,0.417348449,0.096722189,0.409461364,0.659834818,0.162834236,0.228169708,0.583529412,0.207446621,0.20443628,0.298911803,0.400177229,0.497015357,0.266961536,0.380528366,0.411409468,0.153943218,0.392914902,0.599886673,0.44920091,0.68715153,0.137999007,0.084839776,0.892937738,0.582437891,0.253674483,0.37791197,0.890809363,0.485455041,0.421579221,0.568707316,0.400200862,0.002723625,0.292134193,0.110455764,0.158893964,0.120395925,0.224170624,0.237161814,0.711839561,0.713980022,0.161303521,0.211524693,0.539145898,0.815380839,12/1/2002
4.9,0.159783931,0.132893575,0.403616318,0.32668811,0.53146824,0.267745131,0.355894438,0.624489814,0.290844024,0.130799331,0.402352941,0.272686533,0.128741477,0.276189168,0.529652198,0.322463173,0.422669432,0.147037875,0.38465731,0.313249211,0.311196232,0.788810612,0.44158703,0.596480306,0.181358602,0.179491139,0.711384533,0.403116364,0.377798847,0.159004232,0.709619799,0.393329718,0.353229147,0.60808231,0.447177501,0.159113633,0.237494549,0.239828819,0.158814129,0.180508559,0.157987835,0.281331089,0.672964961,0.626959256,0.143252697,0.132261941,0.758162094,0.607140987,1/1/2003
10.1,0.216931771,0.331900485,0.228986234,0.674811461,0.834244412,0.643876418,0.232285192,0.189682515,0.584148446,0.236292716,0.192941176,0.385082058,0.051718674,0.409179937,0.79553701,0.091457281,0.2866939,0.082956888,0.239971043,0.266561514,0.438115202,0.630125105,0.587183989,0.234232642,0.058617191,0.279233529,0.640777972,0.192698978,0.639506646,0.089749784,0.639462628,0.278799906,0.282384163,0.673828602,0.615554328,0.558456966,0.157707314,0.403837584,0.362870078,0.484124995,0.198437383,0.372996364,0.661634815,0.916734648,0.36638933,0.213208591,0.650933885,0.613410893,2/1/2003
78.7,0.225382103,0.511531965,0.172619609,0.740226903,0.684993707,0.852163021,0.357425381,0.2758641,0.627752516,0.216857707,0.181176471,0.458512431,0.099769524,0.463932348,0.787258327,0.419459385,0.546020814,0.175027271,0.419838498,0.656782334,0.560147691,0.636249753,0.174221412,0.765068072,0.048773231,0.356960596,0.686629344,0.18113424,0.665485225,0.189253302,0.68322566,0.460636052,0.497953124,0.745915094,0.616061254,0.897793085,0.253138032,0.409706853,0.524010461,0.585851699,0.408193703,0.435196747,0.672030852,0.691553432,0.535770785,0.221104688,0.525602152,0.723490893,3/1/2003
118.6,0.482041934,0.742905544,0.306496117,0.718376709,0.662910976,0.917477938,0.429665047,0.32677288,0.79307327,0.43937413,0.254117647,0.789943701,0.171861671,0.405230477,0.778887234,0.510447542,0.672663866,0.110209722,0.646483459,0.132492114,0.612117409,0.703851462,0.392102516,0.589060596,0.230801319,0.306837921,0.545443717,0.253419361,0.636149576,0.119202826,0.542202632,0.611606695,0.677568168,0.606181747,0.550162656,0.996621831,0.291161933,0.647118854,0.753076157,0.769161655,0.706312071,0.657604183,0.529700319,0.721217605,0.74979662,0.631170468,0.556951741,0.669173529,4/1/2003
